Proxy,Port,Country,Organization,latency
31.24.253.187,8443,DE,D Stream Group FZ LLC,749ms
31.24.253.150,2053,DE,D Stream Group FZ LLC,756ms
31.24.253.14,2053,DE,D Stream Group FZ LLC,765ms
31.24.253.207,8443,DE,D Stream Group FZ LLC,760ms
31.24.253.215,2053,DE,D Stream Group FZ LLC,758ms
31.24.253.14,8443,DE,D Stream Group FZ LLC,797ms
31.24.253.201,2053,DE,D Stream Group FZ LLC,794ms
31.24.253.228,2053,DE,D Stream Group FZ LLC,874ms
31.24.253.217,2053,DE,D Stream Group FZ LLC,888ms
31.24.253.216,2053,DE,D Stream Group FZ LLC,898ms
31.24.253.133,2053,DE,D Stream Group FZ LLC,904ms
31.24.253.147,2053,DE,D Stream Group FZ LLC,911ms
31.24.253.235,2053,DE,D Stream Group FZ LLC,629ms
31.24.253.231,2053,DE,D Stream Group FZ LLC,741ms
31.24.253.241,2053,DE,D Stream Group FZ LLC,737ms
31.24.253.54,2053,DE,D Stream Group FZ LLC,730ms
31.24.253.43,2053,DE,D Stream Group FZ LLC,733ms
178.208.66.169,443,NL,Iron Hosting Centre Ltd. London, UK,615ms
31.24.253.30,2053,DE,D Stream Group FZ LLC,741ms
31.24.253.34,2053,DE,D Stream Group FZ LLC,743ms
178.208.76.68,443,NL,Iron Hosting Centre Ltd. London, UK (mchost),620ms
31.24.253.236,2053,DE,D Stream Group FZ LLC,755ms
31.24.253.246,2053,DE,D Stream Group FZ LLC,754ms
178.208.79.44,443,NL,Iron Hosting Centre Ltd. London, UK,644ms
31.24.253.56,2053,DE,D Stream Group FZ LLC,773ms
178.208.72.127,443,NL,Iron Hosting Centre Ltd. London, UK (rw),664ms
31.24.253.6,2053,DE,D Stream Group FZ LLC,891ms
66.23.198.74,11443,US,Redoubt Networks,4037ms
31.24.253.246,8443,DE,D Stream Group FZ LLC,910ms
178.208.77.105,2053,NL,Iron Hosting Centre Ltd. London, UK,775ms
178.208.77.105,8443,NL,Iron Hosting Centre Ltd. London, UK,787ms
178.208.79.83,443,NL,Iron Hosting Centre Ltd. London, UK,781ms
178.208.82.119,443,NL,Iron Hosting Centre Ltd. London, UK (rw),785ms
178.208.78.77,443,NL,Iron Hosting Centre Ltd. London, UK (mc),796ms
178.208.77.191,443,NL,Iron Hosting Centre Ltd. London, UK,806ms
178.208.64.245,443,NL,Iron Hosting Centre Ltd. London, UK,806ms
178.208.66.177,8443,NL,Iron Hosting Centre Ltd. London, UK,826ms
178.208.79.242,1443,NL,Iron Hosting Centre Ltd. London, UK,811ms
178.208.156.194,2053,RU,Network for COMCOR-B2B-Clients,818ms
178.20.44.2,8843,RU,VDSINA VDS Hosting,925ms
178.208.66.27,443,NL,Iron Hosting Centre Ltd. London, UK,1029ms
31.24.253.207,2053,DE,D Stream Group FZ LLC,641ms
31.44.2.57,443,NL,ITGLOBAL.COM NL B.V.,619ms
31.24.253.74,2053,DE,D Stream Group FZ LLC,753ms
31.25.88.236,443,DE,Kirino LLC,737ms
31.24.253.227,2053,DE,D Stream Group FZ LLC,756ms
31.24.253.27,2053,DE,D Stream Group FZ LLC,754ms
66.42.68.129,10089,US,Vultr Holdings LLC,756ms
31.24.253.224,2053,DE,D Stream Group FZ LLC,762ms
31.40.216.201,2053,NL,Melbikomas UAB,746ms
31.24.253.79,2053,DE,D Stream Group FZ LLC,756ms
31.24.253.83,2053,DE,D Stream Group FZ LLC,755ms
31.24.253.5,2053,DE,D Stream Group FZ LLC,769ms
66.85.139.204,443,US,SECURED SERVERS LLC,789ms
66.98.127.46,2053,US,Cluster Logic Inc,784ms
66.248.207.96,443,NL,HOSTKEY B.V.,1133ms
66.70.200.9,2053,CA,OVH SAS,1120ms
66.248.207.52,443,NL,HOSTKEY B.V.,1140ms
66.23.198.74,14443,US,Redoubt Networks,1144ms
31.24.253.9,2053,DE,D Stream Group FZ LLC,1510ms
178.208.77.253,443,NL,Iron Hosting Centre Ltd. London, UK,2662ms
31.58.137.126,8443,FI,CGI GLOBAL LIMITED,747ms
31.58.137.126,2053,FI,CGI GLOBAL LIMITED,759ms
31.58.137.132,8443,FI,CGI GLOBAL LIMITED,755ms
31.58.137.132,2053,FI,CGI GLOBAL LIMITED,757ms
31.58.137.166,2053,FI,CGI GLOBAL LIMITED,751ms
31.58.137.166,8443,FI,CGI GLOBAL LIMITED,765ms
31.58.137.6,2053,FI,CGI GLOBAL LIMITED,827ms
31.58.137.94,443,FI,CGI GLOBAL LIMITED,932ms
31.58.137.173,443,FI,CGI GLOBAL LIMITED,949ms
31.58.137.47,443,FI,CGI GLOBAL LIMITED,951ms
31.58.137.196,443,FI,CGI GLOBAL LIMITED,952ms
103.102.231.72,2053,FR,Jules Durand--Arnaudet,695ms
67.207.73.198,443,DE,DigitalOcean LLC,619ms
178.208.87.91,8443,NL,DIGITAL CITY LTD,636ms
103.102.231.250,2053,FR,Jules Durand--Arnaudet,702ms
178.208.87.91,2053,NL,DIGITAL CITY LTD,644ms
178.208.91.52,443,NL,Iron Hosting Centre Ltd. London, UK (mchost),751ms
103.102.231.84,2053,FR,Jules Durand--Arnaudet,811ms
178.208.91.92,8443,NL,Iron Hosting Centre Ltd. London, UK (mchost),753ms
178.208.91.92,2053,NL,Iron Hosting Centre Ltd. London, UK (mchost),758ms
103.102.231.77,2053,FR,Jules Durand--Arnaudet,828ms
178.22.31.39,8443,DE,GLOBAL CONNECTIVITY SOLUTIONS LLP,747ms
103.102.231.88,2053,FR,Jules Durand--Arnaudet,826ms
67.207.70.90,2053,GB,DigitalOcean LLC,797ms
67.220.72.231,443,US,GTHost,833ms
67.230.160.42,8081,US,Cluster Logic Inc,1107ms
67.211.211.7,443,US,Interserver Inc,1125ms
178.217.101.52,443,NL,IHC network in Amsterdam NL,1153ms
31.59.129.126,443,NL,Josha Prior trading as Netralex,695ms
31.59.114.245,8443,NL,CGI GLOBAL LIMITED,703ms
31.59.114.245,2053,NL,CGI GLOBAL LIMITED,741ms
31.59.114.136,7443,NL,CGI GLOBAL LIMITED,865ms
103.102.231.89,2053,FR,Jules Durand--Arnaudet,1567ms
103.102.231.76,2053,FR,Jules Durand--Arnaudet,1557ms
31.59.114.237,443,NL,CGI GLOBAL LIMITED,861ms
178.208.85.147,443,NL,Iron Hosting Centre Ltd. London, UK,1522ms
103.102.231.91,2053,FR,Jules Durand--Arnaudet,1571ms
103.102.231.50,2053,FR,Jules Durand--Arnaudet,1565ms
178.208.90.72,443,NL,Iron Hosting Centre Ltd. London, UK,1521ms
103.102.231.83,2053,FR,Jules Durand--Arnaudet,1589ms
178.217.101.126,443,NL,IHC network in Amsterdam NL,1517ms
178.23.190.35,443,NL,WorkTitans B.V.,1506ms
103.102.231.54,2053,FR,Jules Durand--Arnaudet,1574ms
178.236.243.153,443,DE,IT-GARAGE Hosting,1503ms
178.23.190.192,2053,NL,WorkTitans B.V.,1516ms
31.58.137.6,8443,FI,CGI GLOBAL LIMITED,919ms
178.22.31.114,2053,DE,GLOBAL CONNECTIVITY SOLUTIONS LLP,1535ms
31.58.85.149,443,DE,Private Customer,1104ms
178.23.190.26,2053,NL,WorkTitans B.V.,2042ms
103.106.1.71,8443,NL,WorkTitans B.V.,734ms
103.106.1.211,443,NL,WorkTitans B.V.,757ms
178.208.94.90,8443,RU,McHost.RU,2773ms
178.208.94.90,8445,RU,McHost.RU,2809ms
178.208.88.74,443,NL,Iron Hosting Centre Ltd. London, UK,3033ms
67.60.203.150,443,US,CABLE ONE INC.,1003ms
178.236.244.1,2053,FI,Aeza International LTD,758ms
178.236.244.10,2053,FI,Aeza International LTD,758ms
178.236.244.186,8443,FI,Aeza International LTD,754ms
178.236.244.8,2053,FI,Aeza International LTD,816ms
178.236.244.33,2053,FI,Aeza International LTD,832ms
178.236.244.41,2053,FI,Aeza International LTD,837ms
178.236.244.243,2053,FI,Aeza International LTD,845ms
103.110.183.107,2053,MM,CHEN GUANG COMPANY LIMITED,415ms
31.59.129.67,443,NL,Chunkserve Mateusz Peplinski,617ms
178.236.244.199,443,FI,Aeza International LTD,973ms
31.59.114.254,2053,NL,CGI GLOBAL LIMITED,644ms
31.59.185.172,2053,NL,CGI GLOBAL LIMITED,641ms
31.59.114.254,8443,NL,CGI GLOBAL LIMITED,754ms
31.59.185.156,2053,NL,CGI GLOBAL LIMITED,743ms
31.59.185.123,2053,NL,CGI GLOBAL LIMITED,767ms
31.59.185.156,8443,NL,CGI GLOBAL LIMITED,757ms
31.59.185.123,8443,NL,CGI GLOBAL LIMITED,766ms
68.183.10.184,8443,NL,DigitalOcean LLC,699ms
31.59.185.172,8443,NL,CGI GLOBAL LIMITED,770ms
70.34.199.206,443,SE,Vultr Sweden,690ms
69.42.213.13,443,GB,GTHost,732ms
103.106.2.157,8443,NL,WorkTitans B.V.,853ms
103.106.1.203,443,NL,WorkTitans B.V.,877ms
69.12.83.134,443,EE,IPXO LLC,882ms
69.12.83.175,2053,EE,IPXO LLC,886ms
69.12.83.170,443,EE,IPXO LLC,892ms
69.30.212.5,6643,US,WholeSale Internet Inc.,895ms
103.106.230.186,81,TW,Oneprovider.com - Taipei Infrastructure,895ms
68.183.101.202,443,US,DigitalOcean LLC,940ms
103.112.185.138,587,HK,Rainbow Network Limited,348ms
178.236.253.118,443,DE,nuxt.cloud hosting provider,746ms
31.7.63.135,443,CH,Private Layer INC,616ms
178.248.75.36,2053,LV,SERVA ONE LTD,856ms
103.117.151.111,2053,TH,ReadyIDC CO.LTD.,479ms
34.105.49.234,443,US,Google LLC,713ms
178.248.75.36,8443,LV,SERVA ONE LTD,857ms
31.59.58.28,443,DE,FREAKHOSTING,722ms
178.248.75.6,443,LV,SERVA ONE LTD,869ms
103.106.228.126,2053,JP,oneprovider.com - Tokyo Infrastructure,502ms
178.248.75.38,443,LV,Cloudflare London LLC,874ms
178.250.187.110,443,DE,nuxt.cloud hosting provider,882ms
178.250.187.3,8443,DE,Standart AG LLC,884ms
178.248.75.57,443,LV,SERVA ONE LTD,892ms
178.236.244.61,443,FI,Aeza International LTD,911ms
178.253.22.108,8443,NL,TimeWeb,878ms
178.253.22.238,8443,NL,TimeWeb,883ms
178.253.22.238,2053,NL,TimeWeb,887ms
178.248.75.64,443,LV,SERVA ONE LTD,970ms
34.208.221.169,443,US,Amazon.com Inc.,821ms
34.16.182.230,50651,US,Google LLC,850ms
34.210.27.136,443,US,Amazon Technologies Inc.,868ms
103.113.71.218,2053,DE,WorkTitans B.V.,746ms
103.106.2.157,2053,NL,WorkTitans B.V.,733ms
34.225.195.136,443,US,Amazon Technologies Inc.,966ms
34.175.202.195,443,ES,Google LLC,984ms
103.113.69.63,443,LT,WorkTitans B.V.,878ms
103.113.69.116,2053,LT,WorkTitans B.V.,872ms
103.113.69.125,2053,LT,WorkTitans B.V.,891ms
103.113.70.70,2053,US,WorkTitans B.V.,898ms
69.30.212.2,6643,US,WholeSale Internet Inc.,2168ms
178.253.22.2,443,NL,JSC TIMEWEB,1605ms
69.30.212.6,6643,US,WholeSale Internet Inc.,2168ms
178.253.22.244,1337,NL,TimeWeb,1614ms
178.250.159.120,2053,RU,JSC IOT,2045ms
